Index,Référence fabricant,Nom du fabricant,Description,Fiche technique,Notes sur le produit
1,CL21B104KBCNNNC,Samsung Electro-Mechanics,CAP CER 0.1UF 50V X7R 0805,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/609/CL21B104KBCNNN_Spec.pdf,
2,CL21A475KPFNNNE,Samsung Electro-Mechanics,CAP CER 4.7UF 10V X5R 0805,https://weblib.samsungsem.com/mlcc/mlcc-ec-data-sheet.do?partNumber=CL05Y105KP6VPN,
3,CL21A106KPFNNNG,Samsung Electro-Mechanics,CAP CER 10UF 10V X5R 0805,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/658/CL21A106KPFNNNG.pdf,
4,CL21B105KAFNNNE,Samsung Electro-Mechanics,CAP CER 1UF 25V X7R 0805,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1105/CL21B105KAFNNNE_Spec.pdf,
5,CL21B103KBANNNC,Samsung Electro-Mechanics,CAP CER 10000PF 50V X7R 0805,https://www.samsungsem.com/kr/support/product-search/mlcc/CL21B103KBANNNC.jsp,
6,LTST-C170KRKT,Lite-On Inc.,LED RED CLEAR SMD,https://optoelectronics.liteon.com/upload/download/DS-22-99-0150/LTST-C170KRKT.pdf,
7,SDB13HS-AQ,Diotec Semiconductor,DIODE SCHOTTKY 30V 1A SOD323F,https://diotec.com/request/datasheet/sdb13hs.pdf,
8,LTST-C170KGKT,Lite-On Inc.,LED GREEN CLEAR SMD,https://optoelectronics.liteon.com/upload/download/DS22-2000-073/LTST-C170KGKT.pdf,
9,USB4105-GF-A,GCT,CONN RCP USB2.0 TYP C 16P SMD RA,https://gct.co/files/specs/usb4105-spec.pdf,
10,236-102,WAGO Corporation,PCB TERMINAL BLOCK; 2.5 MM; PIN,https://wago.priintcloud.com/datasheets/236-102/en/,
11,MTJ-88TX1-FSD-LG,Adam Tech,"RJ45 MODULAR JACK, SHIELDED, DIP",https://app.adam-tech.com/products/download/data_sheet/203933/mtj-88tx1-fsd-lg-data-sheet.pdf,
12,61300811121,Würth Elektronik,CONN HEADER VERT 8POS 2.54MM,https://www.we-online.com/components/products/datasheet/61300811121.pdf,
13,IN-S66TBTRGB,Inolux,LED RGB CLEAR 0606 SMD,http://www.inolux-corp.com/datasheet/SMDLED/RGB%20Top%20View/IN-S66TBTRGB_V1.0.pdf,
14,RC0805FR-07150RL,YAGEO,RES 150 OHM 1% 1/8W 0805,https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,
15,ERA-6AEB332V,Panasonic Industry,RES SMD 3.3K OHM 0.1% 1/8W 0805,https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf,
16,RC0805FR-0710KL,YAGEO,RES 10K OHM 1% 1/8W 0805,https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,
17,RMCF0805ZT0R00,Stackpole Electronics Inc,RES 0 OHM JUMPER 1/8W 0805,https://www.seielect.com/catalog/SEI-RMCF_RMCP.pdf,
18,ERJ-6GEYJ561V,Panasonic Industry,RES SMD 560 OHM 5% 1/8W 0805,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C301.pdf,
19,RC0805JR-07360RL,YAGEO,RES 360 OHM 5% 1/8W 0805,https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,
20,RG2012P-105-B-T5,Susumu,RES SMD 1M OHM 0.1% 1/8W 0805,https://www.susumu.co.jp/dl/?filename=n_catalog_partition01_en.pdf&type=application/pdf,
21,RC0805JR-075K1L,YAGEO,RES 5.1K OHM 5% 1/8W 0805,https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,
22,RC0805FR-07100RL,YAGEO,RES 100 OHM 1% 1/8W 0805,https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,
23,RC0805FR-0722RL,YAGEO,RES 22 OHM 1% 1/8W 0805,https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,
24,RC0805JR-074R7L,YAGEO,RES 4.7 OHM 5% 1/8W 0805,https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,
25,CRCW0805120RJNEA,Vishay Dale,RES SMD 120 OHM 5% 1/4W 0805,https://www.vishay.com/docs/20035/dcrcwe3.pdf,
26,CRGCQ0805F220R,TE Connectivity Passive Product,RES 220 OHM 1% 1/8W 0805,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773204-3&DocType=Data%20Sheet&DocLang=English&DocFormat=pdf&PartCntxt=4-2176338-3,
27,RR1220P-102-D,Susumu,RES SMD 1K OHM 0.5% 1/10W 0805,https://www.susumu.co.jp/common/pdf/n_catalog_partition05_en.pdf,
28,PEC12R-4217F-S0012,Bourns Inc.,ENCODER INCRE QUAD HORIZN PC PIN,https://www.bourns.com/docs/Product-Datasheets/PEC12R.pdf,
29,DS04-254-1L-01BK,Same Sky (Formerly CUI Devices),SWITCH SLIDE DIP SPST 0.025A 24V,https://www.sameskydevices.com/product/resource/ds04-254.pdf,
30,TS02-66-50-BK-160-SCR-D,Same Sky (Formerly CUI Devices),SWITCH TACTILE SPST-NO 0.05A 12V,https://www.sameskydevices.com/product/resource/ts02.pdf,
31,4952,Keystone Electronics,PC TEST POINT LOOP,https://www.keyelco.com/userAssets/file/K75p63.pdf,
32,STM32C071CBT7,STMicroelectronics,STM32C,https://www.st.com/resource/en/datasheet/stm32c071r8.pdf,
33,3533,Adafruit Industries LLC,"GRAPHIC DISPLAY TFT RGB 0.96""",https://cdn-learn.adafruit.com/downloads/pdf/adafruit-mini-tft-0-dot-96-inch-180x60-breakout.pdf,
34,USBLC6-2SC6,"Shenzhen Slkormicro Semicon Co., Ltd.",6A@8/20US 13V 78W@8/20US 9V 5V S,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/7833/USBLC6-2SC6%20SOT-23-6L.PDF,
35,AP2112R5-3.3TRG1,Diodes Incorporated,IC REG LINEAR 3.3V 600MA SOT89-5,https://www.diodes.com/assets/Datasheets/AP2112.pdf,
36,SGP40-D-R4,Sensirion AG,SENSOR AIR QUALITY I2C OUTPUT,https://sensirion.com/media/documents/296373BB/6203C5DF/Sensirion_Gas_Sensors_Datasheet_SGP40.pdf,
37,MS560702BA03-50,TE Connectivity Measurement Specialties,SENSOR 17.4PSIA 24BIT 8SMD,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MS5607-02BA03&DocType=Data%20Sheet&DocLang=English&DocFormat=pdf&PartCntxt=MS560702BA03-50,
38,HDC1080DMBR,Texas Instruments,SENSOR HUMI/TEMP 3.3V I2C 2% SMD,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fhdc1080,
39,TP8485E-SR,3PEAK,IC TRANSCEIVER HALF 1/1 8SOIC,https://static.3peak.com/res/doc/ds/Datasheet_TP8485E.pdf,
