"Reference","Qty","Value"
"C1,C2,C3,C5,C6,C10,C12,C13,C14","9","100nF"
"C4","1","4.7uF"
"C7","1","10uF"
"C8,C9,C11","3","1uF"
"C15,C16,C17","3","10nF"
"D1","1","BOOT0_LED"
"D2,D3","2","CC"
"D4","1","VBUS_LED"
"D5","1","3v3_LED"
"J1","1","USB4105-GF-A"
"J2","1","Screw_Terminal_01x02"
"J3","1","RJ45_LED_Shielded"
"J5","1","Port_B_1"
"J6","1","Port_B_2"
"LED1","1","IN-S66TBTRGB"
"R1","1","150"
"R2,R3","2","3k3"
"R4,R22,R23,R24,R25,R26,R27","7","10k"
"R5,R16","2","0"
"R6,R28","2","560"
"R7,R8","2","360"
"R9,R18","2","1M"
"R10,R11","2","5k1"
"R12,R13","2","100"
"R14,R15","2","22"
"R17","1","4.7"
"R19","1","120"
"R20,R21","2","1k"
"R29","1","220"
"S1","1","PEC12R-4217F-S0012"
"SW1","1","SW_SPST"
"SW2","1","SW_MEC_5G"
"TP1,TP7,TP8,TP13,TP14,TP18","6","GND"
"TP2","1","SDA"
"TP3","1","SCL"
"TP4","1","BOOT0"
"TP5","1","VREF+"
"TP6","1","NRST"
"TP9","1","D+"
"TP10","1","D-"
"TP11","1","VBUS"
"TP12","1","3v3"
"TP15","1","USART1_DE"
"TP16","1","USART1_RX"
"TP17","1","USART1_TX"
"TP19","1","RS_458_B"
"TP20","1","RS_458_A"
"U1","1","STM32C071CBTx"
"U2","1","DISPLAY TFT"
"U3","1","USBLC6-2SC6"
"U4","1","AP2112R5-3.3TRG1"
"U5","1","SGP40-D-R4"
"U6","1","MS5607-02BA"
"U7","1","HDC1080"
"U8","1","TP8485E-SR"
